Title,num_ratings,avg_rating
The Lovely Bones: A Novel,401,8.286783042394015
The Da Vinci Code,319,8.545454545454545
Bridget Jones's Diary,268,7.66044776119403
The Secret Life of Bees,262,8.534351145038167
Harry Potter and the Chamber of Secrets (Book 2),261,8.88888888888889
Wild Animus,246,4.032520325203252
The Nanny Diaries: A Novel,243,7.407407407407407
The Red Tent (Bestselling Backlist),228,8.37719298245614
Life of Pi,227,8.145374449339206
Harry Potter and the Prisoner of Azkaban (Book 3),225,9.071111111111112
A Painted House,217,7.506912442396313
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),211,8.971563981042655
Harry Potter and the Goblet of Fire (Book 4),204,9.191176470588236
Angels & Demons,202,8.158415841584159
Divine Secrets of the Ya-Ya Sisterhood: A Novel,201,7.985074626865671
Where the Heart Is (Oprah's Book Club (Paperback)),190,8.25263157894737
Interview with the Vampire,185,7.697297297297298
The Notebook,183,7.868852459016393
To Kill a Mockingbird,181,9.005524861878452
Girl with a Pearl Earring,174,8.063218390804598
The Summons,173,7.410404624277457
The Testament,170,7.517647058823529
Good in Bed,169,7.964497041420119
The Pilot's Wife : A Novel,169,7.591715976331361
The Firm,168,7.904761904761905
Harry Potter and the Order of the Phoenix (Book 5),167,9.071856287425149
Snow Falling on Cedars,167,7.754491017964072
The Catcher in the Rye,163,7.668711656441718
The Five People You Meet in Heaven,160,7.94375
Jurassic Park,159,7.80503144654088
Timeline,159,7.861635220125786
The Girls' Guide to Hunting and Fishing,158,6.765822784810126
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",157,8.643312101910828
Summer Sisters,157,7.528662420382165
A Time to Kill,157,8.0
Me Talk Pretty One Day,148,8.013513513513514
1st to Die: A Novel,148,7.756756756756757
The Chamber,147,7.448979591836735
She's Come Undone (Oprah's Book Club),146,7.698630136986301
The Partner,145,7.606896551724138
House of Sand and Fog,143,7.545454545454546
The Rainmaker,141,7.560283687943262
The Client,140,7.757142857142857
The Brethren,140,7.428571428571429
The Joy Luck Club,135,8.237037037037037
The Pelican Brief,135,7.762962962962963
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",135,9.022222222222222
She's Come Undone (Oprah's Book Club (Paperback)),134,7.492537313432836
Harry Potter and the Sorcerer's Stone (Book 1),134,9.067164179104477
Suzanne's Diary for Nicholas,133,7.7518796992481205
The Street Lawyer,133,7.428571428571429
The Poisonwood Bible: A Novel,131,8.183206106870228
Fahrenheit 451,131,8.679389312977099
Little Altars Everywhere: A Novel,129,7.651162790697675
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),129,8.108527131782946
The Runaway Jury,126,7.833333333333333
Dreamcatcher,125,7.376
Red Dragon,122,8.008196721311476
The King of Torts,121,7.545454545454546
The Bridges of Madison County,120,7.433333333333334
"The Vampire Lestat (Vampire Chronicles, Book II)",120,8.083333333333334
The Bean Trees,120,8.291666666666666
Confessions of a Shopaholic (Summer Display Opportunity),119,7.7899159663865545
Message in a Bottle,117,7.478632478632479
The Horse Whisperer,116,7.517241379310345
